GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FlightBookingSystem,com.flightapp.request,BookingResponse,5,126,2,2,0,34,2,22,0,22
FlightBookingSystem,com.flightapp.request,FlightSearchResponse,108,0,0,0,31,0,20,0,20,0
FlightBookingSystem,com.flightapp.request,Flight,5,153,8,10,1,36,8,28,0,27
FlightBookingSystem,com.flightapp.request,CreateBookingRequest,0,45,0,0,0,13,0,13,0,13
FlightBookingSystem,com.flightapp.request,PassengerInfo,15,31,0,0,3,9,1,9,1,9
FlightBookingSystem,com.flightapp.request,AddInventoryRequest,0,59,0,0,0,17,0,17,0,17
FlightBookingSystem,com.flightapp.request,FlightSearchRequest,31,0,0,0,9,0,9,0,9,0
FlightBookingSystem,com.flightapp.request,Booking,17,79,0,0,4,23,4,20,4,20
FlightBookingSystem,com.flightapp.service,BookingServiceImpl,74,185,6,14,9,46,12,8,6,4
FlightBookingSystem,com.flightapp.service,FlightServiceImpl,6,35,0,0,0,8,0,5,0,5
FlightBookingSystem,com.flightapp,Application,5,3,0,0,2,1,1,1,1,1
FlightBookingSystem,com.flightapp,PnrGenerator,7,33,0,2,2,6,1,4,1,3
FlightBookingSystem,com.flightapp,ResourceNotFoundException,0,4,0,0,0,1,0,1,0,1
FlightBookingSystem,com.flightapp,GlobalErrorHandler,27,3,0,0,8,1,2,1,2,1
FlightBookingSystem,com.flightapp.controller,BookingController,28,41,1,3,7,9,4,4,3,3
FlightBookingSystem,com.flightapp.controller,FlightController,81,67,4,0,17,17,4,3,2,3
